,energy_usage,carbon_intensity,battery_level,decision,emission_baseline,emission_w_battery,max_em_delta,emission_delta,emission_baseline_sum,reward
443,1050,280,[10000],Illegal action,[294.],[294.],[0],[-3577.958],,-0.01
444,535,284,[10000],Illegal action,[151.94],[151.94],[0],[-3577.958],,-0.01
445,1759,285,[10000],Illegal action,[501.315],[501.315],[0],[-3577.958],,-0.01
446,1633,284,[10000],Illegal action,[463.772],[463.772],[0],[-3577.958],,-0.01
447,1091,304,[10000],Illegal action,[331.664],[331.664],[0],[-3577.958],,-0.01
448,1077,332,[10000],Illegal action,[357.564],[357.564],[0],[-3577.958],,-0.01
449,1051,359,[10000],Illegal action,[377.309],[377.309],[0],[-3577.958],,-0.01
450,1150,417,[10000],Illegal action,[479.55],[479.55],[0],[-3577.958],,-0.01
451,739,464,[10000],Illegal action,[342.896],[342.896],[0],[-3577.958],,-0.01
452,1039,463,[10000],Illegal action,[481.057],[481.057],[0],[-3577.958],,-0.01
453,1486,462,[10000],Illegal action,[686.532],[686.532],[0],[-3577.958],,-0.01
454,927,462,[10000],Illegal action,[428.274],[428.274],[0],[-3577.958],,-0.01
455,990,459,[10000],Illegal action,[454.41],[454.41],[0],[-3577.958],,-0.01
456,1201,458,[10000],Illegal action,[550.058],[550.058],[0],[-3577.958],,-0.01
457,834,458,[10000],Illegal action,[381.972],[381.972],[0],[-3577.958],,-0.01
458,584,458,[10000],Nothing,[267.472],[267.472],[0],[-3577.958],,-0.1
459,882,454,[10000],Illegal action,[400.428],[400.428],[0],[-3577.958],,-0.01
460,1178,455,[10000],Illegal action,[535.99],[535.99],[0],[-3577.958],,-0.01
461,706,417,[10000],Illegal action,[294.402],[294.402],[0],[-3577.958],,-0.01
462,1283,339,[10000],Illegal action,[434.937],[434.937],[0],[-3577.958],,-0.01
463,1606,299,[10000],Illegal action,[480.194],[480.194],[0],[-3577.958],,-0.01
464,1046,268,[10000],Illegal action,[280.328],[280.328],[0],[-3577.958],,-0.01
465,1460,253,[10000],Illegal action,[369.38],[369.38],[0],[-3577.958],,-0.01
466,1912,251,[10000],Illegal action,[479.912],[479.912],[0],[-3577.958],,-0.01
467,1187,240,[10000],Illegal action,[284.88],[284.88],[0],[-3577.958],,-0.01
468,913,237,[10000],Illegal action,[216.381],[216.381],[0],[-3577.958],,-0.01
469,730,227,[10000],Illegal action,[165.71],[165.71],[0],[-3577.958],,-0.01
470,923,229,[10000],Illegal action,[211.367],[211.367],[0],[-3577.958],,-0.01
471,929,257,[10000],Illegal action,[238.753],[238.753],[0],[-3577.958],,-0.01
472,687,276,[10000],Illegal action,[189.612],[189.612],[0],[-3577.958],,-0.01
473,904,297,[10000],Illegal action,[268.488],[268.488],[0],[-3577.958],,-0.01
474,1175,349,[10000],Illegal action,[410.075],[410.075],[0],[-3577.958],,-0.01
475,623,401,[10000],Illegal action,[249.823],[249.823],[0],[-3577.958],,-0.01
476,1024,401,[10000],Illegal action,[410.624],[410.624],[0],[-3577.958],,-0.01
477,1134,398,[10000],Illegal action,[451.332],[451.332],[0],[-3577.958],,-0.01
478,844,392,[10000],Illegal action,[330.848],[330.848],[0],[-3577.958],,-0.01
479,1508,374,[10000],Illegal action,[563.992],[563.992],[0],[-3577.958],,-0.01
480,1252,374,[10000],Illegal action,[468.248],[468.248],[0],[-3577.958],,-0.01
481,1023,365,[10000],Illegal action,[373.395],[373.395],[0],[-3577.958],,-0.01
482,1074,367,[10000],Illegal action,[394.158],[394.158],[0],[-3577.958],,-0.01
483,901,368,[10000],Illegal action,[331.568],[331.568],[0],[-3577.958],,-0.01
484,990,386,[10000],Illegal action,[382.14],[382.14],[0],[-3577.958],,-0.01
485,1307,342,[10000],Illegal action,[446.994],[446.994],[0],[-3577.958],,-0.01
486,755,269,[10000],Illegal action,[203.095],[203.095],[0],[-3577.958],,-0.01
487,861,241,[10000],Illegal action,[207.501],[207.501],[0],[-3577.958],,-0.01
488,1770,228,[10000],Illegal action,[403.56],[403.56],[0],[-3577.958],,-0.01
489,880,225,[10000],Illegal action,[198.],[198.],[0],[-3577.958],,-0.01
490,1095,235,[10000],Illegal action,[257.325],[257.325],[0],[-3577.958],,-0.01
491,4613,221,[10000],Nothing,[1019.473],[1019.473],[0],[-3577.958],,-0.1
492,2808,217,[10000],Nothing,[609.336],[609.336],[0],[-3577.958],,-0.1
493,3382,215,[10000],Nothing,[727.13],[727.13],[0],[-3577.958],,-0.1
494,1972,223,[10000],Illegal action,[439.756],[439.756],[0],[-3577.958],,-0.01
495,1493,242,[10000],Illegal action,[361.306],[361.306],[0],[-3577.958],,-0.01
496,1485,268,[10000],Illegal action,[397.98],[397.98],[0],[-3577.958],,-0.01
497,1646,296,[10000],Illegal action,[487.216],[487.216],[0],[-3577.958],,-0.01
498,900,344,[10000],Illegal action,[309.6],[309.6],[0],[-3577.958],,-0.01
499,1004,400,[10000],Illegal action,[401.6],[401.6],[0],[-3577.958],,-0.01
500,1804,410,[10000],Illegal action,[739.64],[739.64],[0],[-3577.958],,-0.01
501,1580,414,[10000],Illegal action,[654.12],[654.12],[0],[-3577.958],,-0.01
502,875,410,[9125],Discharged,[358.75],0,[0],[-3219.208],,-0.01
503,757,408,[10000],Charged,[308.856],[665.856],[0],[-3576.208],,-0.01
504,711,406,[10000],Illegal action,[288.666],[288.666],[0],[-3576.208],,-0.01
505,705,411,[10000],Illegal action,[289.755],[289.755],[0],[-3576.208],,-0.01
506,720,424,[10000],Illegal action,[305.28],[305.28],[0],[-3576.208],,-0.01
507,705,448,[10000],Illegal action,[315.84],[315.84],[0],[-3576.208],,-0.01
508,603,467,[10000],Illegal action,[281.601],[281.601],[0],[-3576.208],,-0.01
509,627,431,[10000],Illegal action,[270.237],[270.237],[0],[-3576.208],,-0.01
510,734,363,[10000],Illegal action,[266.442],[266.442],[0],[-3576.208],,-0.01
511,1248,336,[10000],Illegal action,[419.328],[419.328],[0],[-3576.208],,-0.01
512,1093,301,[10000],Illegal action,[328.993],[328.993],[0],[-3576.208],,-0.01
513,6089,286,[10000],Illegal action,[1741.454],[1741.454],[0],[-3576.208],,-0.01
514,1966,274,[10000],Illegal action,[538.684],[538.684],[0],[-3576.208],,-0.01
515,1820,268,[10000],Illegal action,[487.76],[487.76],[0],[-3576.208],,-0.01
516,1495,260,[10000],Illegal action,[388.7],[388.7],[0],[-3576.208],,-0.01
517,1445,255,[10000],Illegal action,[368.475],[368.475],[0],[-3576.208],,-0.01
518,1635,260,[10000],Illegal action,[425.1],[425.1],[0],[-3576.208],,-0.01
519,929,279,[10000],Illegal action,[259.191],[259.191],[0],[-3576.208],,-0.01
520,1112,313,[10000],Illegal action,[348.056],[348.056],[0],[-3576.208],,-0.01
521,1432,338,[10000],Illegal action,[484.016],[484.016],[0],[-3576.208],,-0.01
522,1180,392,[10000],Illegal action,[462.56],[462.56],[0],[-3576.208],,-0.01
523,4083,439,[10000],Illegal action,[1792.437],[1792.437],[0],[-3576.208],,-0.01
524,2555,438,[10000],Illegal action,[1119.09],[1119.09],[0],[-3576.208],,-0.01
525,1504,439,[10000],Illegal action,[660.256],[660.256],[0],[-3576.208],,-0.01
526,1234,444,[10000],Illegal action,[547.896],[547.896],[0],[-3576.208],,-0.01
527,977,448,[10000],Illegal action,[437.696],[437.696],[0],[-3576.208],,-0.01
528,726,453,[10000],Illegal action,[328.878],[328.878],[0],[-3576.208],,-0.01
529,704,458,[10000],Illegal action,[322.432],[322.432],[0],[-3576.208],,-0.01
530,678,463,[10000],Illegal action,[313.914],[313.914],[0],[-3576.208],,-0.01
531,803,473,[10000],Illegal action,[379.819],[379.819],[0],[-3576.208],,-0.01
532,808,476,[10000],Illegal action,[384.608],[384.608],[0],[-3576.208],,-0.01
533,669,441,[10000],Illegal action,[295.029],[295.029],[0],[-3576.208],,-0.01
534,742,365,[10000],Illegal action,[270.83],[270.83],[0],[-3576.208],,-0.01
535,1078,321,[10000],Illegal action,[346.038],[346.038],[0],[-3576.208],,-0.01
536,1524,293,[10000],Illegal action,[446.532],[446.532],[0],[-3576.208],,-0.01
537,3053,278,[10000],Illegal action,[848.734],[848.734],[0],[-3576.208],,-0.01
538,5135,275,[10000],Illegal action,[1412.125],[1412.125],[0],[-3576.208],,-0.01
539,2492,275,[10000],Illegal action,[685.3],[685.3],[0],[-3576.208],,-0.01
540,2058,275,[10000],Illegal action,[565.95],[565.95],[0],[-3576.208],,-0.01
541,1424,280,[10000],Illegal action,[398.72],[398.72],[0],[-3576.208],,-0.01
542,1200,286,[10000],Illegal action,[343.2],[343.2],[0],[-3576.208],,-0.01
543,1027,311,[10000],Illegal action,[319.397],[319.397],[0],[-3576.208],,-0.01
544,1675,335,[10000],Illegal action,[561.125],[561.125],[0],[-3576.208],,-0.01
545,884,352,[10000],Illegal action,[311.168],[311.168],[0],[-3576.208],,-0.01
546,1493,399,[10000],Illegal action,[595.707],[595.707],[0],[-3576.208],,-0.01
547,1876,442,[10000],Illegal action,[829.192],[829.192],[0],[-3576.208],,-0.01
548,1856,436,[10000],Illegal action,[809.216],[809.216],[0],[-3576.208],,-0.01
549,1718,431,[10000],Illegal action,[740.458],[740.458],[0],[-3576.208],,-0.01
550,756,440,[10000],Illegal action,[332.64],[332.64],[0],[-3576.208],,-0.01
551,700,452,[10000],Illegal action,[316.4],[316.4],[0],[-3576.208],,-0.01
552,695,445,[10000],Illegal action,[309.275],[309.275],[0],[-3576.208],,-0.01
553,815,451,[10000],Illegal action,[367.565],[367.565],[0],[-3576.208],,-0.01
554,818,458,[10000],Illegal action,[374.644],[374.644],[0],[-3576.208],,-0.01
555,662,463,[10000],Illegal action,[306.506],[306.506],[0],[-3576.208],,-0.01
556,1065,465,[10000],Illegal action,[495.225],[495.225],[0],[-3576.208],,-0.01
557,736,428,[10000],Illegal action,[315.008],[315.008],[0],[-3576.208],,-0.01
558,701,367,[10000],Illegal action,[257.267],[257.267],[0],[-3576.208],,-0.01
559,1294,336,[10000],Illegal action,[434.784],[434.784],[0],[-3576.208],,-0.01
560,4002,304,[10000],Illegal action,[1216.608],[1216.608],[0],[-3576.208],,-0.01
561,4943,297,[10000],Illegal action,[1468.071],[1468.071],[0],[-3576.208],,-0.01
562,785,294,[10000],Illegal action,[230.79],[230.79],[0],[-3576.208],,-0.01
563,994,301,[10000],Illegal action,[299.194],[299.194],[0],[-3576.208],,-0.01
564,958,300,[10000],Nothing,[287.4],[287.4],[0],[-3576.208],,-0.1
565,1005,306,[10000],Illegal action,[307.53],[307.53],[0],[-3576.208],,-0.01
566,948,314,[10000],Illegal action,[297.672],[297.672],[0],[-3576.208],,-0.01
567,2180,329,[10000],Illegal action,[717.22],[717.22],[0],[-3576.208],,-0.01
568,1029,328,[10000],Illegal action,[337.512],[337.512],[0],[-3576.208],,-0.01
569,1403,339,[10000],Illegal action,[475.617],[475.617],[0],[-3576.208],,-0.01
570,1371,360,[10000],Illegal action,[493.56],[493.56],[0],[-3576.208],,-0.01
571,1958,414,[10000],Illegal action,[810.612],[810.612],[0],[-3576.208],,-0.01
572,2187,429,[10000],Illegal action,[938.223],[938.223],[0],[-3576.208],,-0.01
573,1220,434,[8780],Discharged,[529.48],0,[0],[-3046.728],,-0.01
574,961,437,[10000],Charged,[419.957],[953.097],[0],[-3579.868],,-0.01
575,813,427,[9187],Discharged,[347.151],0,[0],[-3232.717],,-0.01
576,979,421,[10000],Charged,[412.159],[754.432],[0],[-3574.99],,-0.01
577,983,462,[10000],Illegal action,[454.146],[454.146],[0],[-3574.99],,-0.01
578,898,448,[10000],Illegal action,[402.304],[402.304],[0],[-3574.99],,-0.01
579,733,487,[10000],Illegal action,[356.971],[356.971],[0],[-3574.99],,-0.01
580,746,495,[9254],Discharged,[369.27],0,[0],[-3205.72],,-0.01
581,820,442,[10000],Charged,[362.44],[692.172],[0],[-3535.452],,-0.01
582,1005,376,[10000],Illegal action,[377.88],[377.88],[0],[-3535.452],,-0.01
583,839,351,[10000],Illegal action,[294.489],[294.489],[0],[-3535.452],,-0.01
584,1961,330,[10000],Illegal action,[647.13],[647.13],[0],[-3535.452],,-0.01
585,2511,301,[10000],Illegal action,[755.811],[755.811],[0],[-3535.452],,-0.01
586,1865,293,[10000],Illegal action,[546.445],[546.445],[0],[-3535.452],,-0.01
587,1181,282,[10000],Illegal action,[333.042],[333.042],[0],[-3535.452],,-0.01
588,690,268,[10000],Illegal action,[184.92],[184.92],[0],[-3535.452],,-0.01
589,706,255,[10000],Illegal action,[180.03],[180.03],[0],[-3535.452],,-0.01
590,728,257,[10000],Illegal action,[187.096],[187.096],[0],[-3535.452],,-0.01
591,821,265,[10000],Illegal action,[217.565],[217.565],[0],[-3535.452],,-0.01
592,2208,278,[10000],Illegal action,[613.824],[613.824],[0],[-3535.452],,-0.01
593,1528,296,[10000],Illegal action,[452.288],[452.288],[0],[-3535.452],,-0.01
594,1460,340,[10000],Illegal action,[496.4],[496.4],[0],[-3535.452],,-0.01
595,2914,403,[10000],Illegal action,[1174.342],[1174.342],[0],[-3535.452],,-0.01
596,1440,416,[10000],Illegal action,[599.04],[599.04],[0],[-3535.452],,-0.01
597,1075,417,[10000],Illegal action,[448.275],[448.275],[0],[-3535.452],,-0.01
598,935,420,[10000],Illegal action,[392.7],[392.7],[0],[-3535.452],,-0.01
599,862,430,[10000],Illegal action,[370.66],[370.66],[0],[-3535.452],,-0.01
600,706,439,[10000],Illegal action,[309.934],[309.934],[0],[-3535.452],,-0.01
601,688,449,[10000],Illegal action,[308.912],[308.912],[0],[-3535.452],,-0.01
602,722,462,[10000],Illegal action,[333.564],[333.564],[0],[-3535.452],,-0.01
603,746,473,[10000],Illegal action,[352.858],[352.858],[0],[-3535.452],,-0.01
604,737,493,[10000],Illegal action,[363.341],[363.341],[0],[-3535.452],,-0.01
605,725,436,[10000],Illegal action,[316.1],[316.1],[0],[-3535.452],,-0.01
606,726,380,[10000],Nothing,[275.88],[275.88],[0],[-3535.452],,-0.1
607,2020,359,[10000],Illegal action,[725.18],[725.18],[0],[-3535.452],,-0.01
608,6718,347,[10000],Illegal action,[2331.146],[2331.146],[0],[-3535.452],,-0.01
609,1982,345,[10000],Illegal action,[683.79],[683.79],[0],[-3535.452],,-0.01
610,1189,337,[10000],Illegal action,[400.693],[400.693],[0],[-3535.452],,-0.01
611,3628,337,[10000],Illegal action,[1222.636],[1222.636],[0],[-3535.452],,-0.01
612,1481,337,[10000],Illegal action,[499.097],[499.097],[0],[-3535.452],,-0.01
613,2328,334,[10000],Illegal action,[777.552],[777.552],[0],[-3535.452],,-0.01
614,873,336,[10000],Illegal action,[293.328],[293.328],[0],[-3535.452],,-0.01
615,762,340,[10000],Illegal action,[259.08],[259.08],[0],[-3535.452],,-0.01
616,1680,348,[8320],Discharged,[584.64],0,[0],[-2950.812],,-0.01
617,1300,367,[10000],Charged,[477.1],[1093.66],[0],[-3567.372],,-0.01
618,1384,419,[10000],Illegal action,[579.896],[579.896],[0],[-3567.372],,-0.01
619,1419,496,[10000],Illegal action,[703.824],[703.824],[0],[-3567.372],,-0.01
620,1688,499,[10000],Illegal action,[842.312],[842.312],[0],[-3567.372],,-0.01
621,1447,499,[10000],Illegal action,[722.053],[722.053],[0],[-3567.372],,-0.01
622,816,484,[10000],Illegal action,[394.944],[394.944],[0],[-3567.372],,-0.01
623,829,474,[10000],Nothing,[392.946],[392.946],[0],[-3567.372],,-0.1
624,799,466,[10000],Illegal action,[372.334],[372.334],[0],[-3567.372],,-0.01
625,835,446,[10000],Nothing,[372.41],[372.41],[0],[-3567.372],,-0.1
626,816,433,[9184],Discharged,[353.328],0,[0],[-3214.044],,-0.01
627,717,427,[10000],Charged,[306.159],[654.591],[0],[-3562.476],,-0.01
628,750,436,[10000],Illegal action,[327.],[327.],[0],[-3562.476],,-0.01
629,854,359,[10000],Illegal action,[306.586],[306.586],[0],[-3562.476],,-0.01
630,1449,310,[10000],Illegal action,[449.19],[449.19],[0],[-3562.476],,-0.01
631,1139,300,[10000],Illegal action,[341.7],[341.7],[0],[-3562.476],,-0.01
632,2931,290,[10000],Illegal action,[849.99],[849.99],[0],[-3562.476],,-0.01
633,5437,285,[10000],Illegal action,[1549.545],[1549.545],[0],[-3562.476],,-0.01
634,968,289,[10000],Illegal action,[279.752],[279.752],[0],[-3562.476],,-0.01
635,879,270,[10000],Illegal action,[237.33],[237.33],[0],[-3562.476],,-0.01
636,3151,260,[10000],Illegal action,[819.26],[819.26],[0],[-3562.476],,-0.01
637,862,265,[10000],Illegal action,[228.43],[228.43],[0],[-3562.476],,-0.01
638,706,261,[10000],Illegal action,[184.266],[184.266],[0],[-3562.476],,-0.01
639,2632,244,[10000],Illegal action,[642.208],[642.208],[0],[-3562.476],,-0.01
640,831,258,[10000],Illegal action,[214.398],[214.398],[0],[-3562.476],,-0.01
641,744,278,[10000],Illegal action,[206.832],[206.832],[0],[-3562.476],,-0.01
642,810,323,[10000],Illegal action,[261.63],[261.63],[0],[-3562.476],,-0.01
643,1587,408,[10000],Illegal action,[647.496],[647.496],[0],[-3562.476],,-0.01
644,1672,407,[10000],Illegal action,[680.504],[680.504],[0],[-3562.476],,-0.01
645,967,409,[10000],Illegal action,[395.503],[395.503],[0],[-3562.476],,-0.01
646,986,408,[10000],Nothing,[402.288],[402.288],[0],[-3562.476],,-0.1
647,693,407,[10000],Illegal action,[282.051],[282.051],[0],[-3562.476],,-0.01
648,646,387,[10000],Illegal action,[250.002],[250.002],[0],[-3562.476],,-0.01
649,800,394,[10000],Illegal action,[315.2],[315.2],[0],[-3562.476],,-0.01
650,701,402,[10000],Illegal action,[281.802],[281.802],[0],[-3562.476],,-0.01
651,615,400,[10000],Illegal action,[246.],[246.],[0],[-3562.476],,-0.01
652,641,404,[10000],Illegal action,[258.964],[258.964],[0],[-3562.476],,-0.01
653,1501,342,[10000],Illegal action,[513.342],[513.342],[0],[-3562.476],,-0.01
654,2096,279,[10000],Illegal action,[584.784],[584.784],[0],[-3562.476],,-0.01
655,1329,259,[10000],Illegal action,[344.211],[344.211],[0],[-3562.476],,-0.01
656,1883,249,[10000],Illegal action,[468.867],[468.867],[0],[-3562.476],,-0.01
657,879,250,[10000],Illegal action,[219.75],[219.75],[0],[-3562.476],,-0.01
658,757,242,[10000],Illegal action,[183.194],[183.194],[0],[-3562.476],,-0.01
659,757,234,[10000],Illegal action,[177.138],[177.138],[0],[-3562.476],,-0.01
660,618,232,[10000],Illegal action,[143.376],[143.376],[0],[-3562.476],,-0.01
661,583,226,[10000],Illegal action,[131.758],[131.758],[0],[-3562.476],,-0.01
662,689,224,[10000],Illegal action,[154.336],[154.336],[0],[-3562.476],,-0.01
663,794,243,[10000],Illegal action,[192.942],[192.942],[0],[-3562.476],,-0.01
664,682,270,[9318],Discharged,[184.14],0,[0],[-3378.336],,-0.01
665,592,297,[10000],Charged,[175.824],[378.378],[0],[-3580.89],,-0.01
666,4829,352,[7500.],Discharged,[1699.808],[819.808],[0],[-2700.89],,-0.01
667,3650,440,[10000],Charged,[1606.],[2706.],[0],[-3800.89],,-0.01
668,2010,445,[10000],Illegal action,[894.45],[894.45],[0],[-3800.89],,-0.01
669,1119,442,[10000],Illegal action,[494.598],[494.598],[0],[-3800.89],,-0.01
670,1008,428,[10000],Illegal action,[431.424],[431.424],[0],[-3800.89],,-0.01
671,803,416,[10000],Illegal action,[334.048],[334.048],[0],[-3800.89],,-0.01
672,624,412,[10000],Illegal action,[257.088],[257.088],[0],[-3800.89],,-0.01
673,740,407,[9260],Discharged,[301.18],0,[0],[-3499.71],,-0.01
674,786,412,[10000],Charged,[323.832],[628.712],[0],[-3804.59],,-0.01
675,625,416,[10000],Nothing,[260.],[260.],[0],[-3804.59],,-0.1
676,763,436,[10000],Illegal action,[332.668],[332.668],[0],[-3804.59],,-0.01
677,838,398,[10000],Illegal action,[333.524],[333.524],[0],[-3804.59],,-0.01
678,775,340,[10000],Illegal action,[263.5],[263.5],[0],[-3804.59],,-0.01
679,1407,311,[10000],Illegal action,[437.577],[437.577],[0],[-3804.59],,-0.01
680,7119,270,[10000],Illegal action,[1922.13],[1922.13],[0],[-3804.59],,-0.01
681,1901,247,[10000],Illegal action,[469.547],[469.547],[0],[-3804.59],,-0.01
682,624,250,[10000],Illegal action,[156.],[156.],[0],[-3804.59],,-0.01
683,876,239,[10000],Illegal action,[209.364],[209.364],[0],[-3804.59],,-0.01
684,638,236,[10000],Illegal action,[150.568],[150.568],[0],[-3804.59],,-0.01
685,673,243,[10000],Illegal action,[163.539],[163.539],[0],[-3804.59],,-0.01
686,1141,239,[10000],Illegal action,[272.699],[272.699],[0],[-3804.59],,-0.01
687,3249,258,[10000],Illegal action,[838.242],[838.242],[0],[-3804.59],,-0.01
688,1646,291,[10000],Illegal action,[478.986],[478.986],[0],[-3804.59],,-0.01
689,681,314,[10000],Illegal action,[213.834],[213.834],[0],[-3804.59],,-0.01
690,1012,356,[10000],Illegal action,[360.272],[360.272],[0],[-3804.59],,-0.01
691,1560,411,[10000],Illegal action,[641.16],[641.16],[0],[-3804.59],,-0.01
692,1371,386,[10000],Illegal action,[529.206],[529.206],[0],[-3804.59],,-0.01
693,1375,350,[10000],Illegal action,[481.25],[481.25],[0],[-3804.59],,-0.01
694,1131,291,[10000],Illegal action,[329.121],[329.121],[0],[-3804.59],,-0.01
695,1253,281,[10000],Illegal action,[352.093],[352.093],[0],[-3804.59],,-0.01
696,1077,273,[10000],Illegal action,[294.021],[294.021],[0],[-3804.59],,-0.01
697,1010,273,[10000],Illegal action,[275.73],[275.73],[0],[-3804.59],,-0.01
698,1126,274,[10000],Illegal action,[308.524],[308.524],[0],[-3804.59],,-0.01
699,1069,287,[10000],Illegal action,[306.803],[306.803],[0],[-3804.59],,-0.01
700,703,298,[10000],Illegal action,[209.494],[209.494],[0],[-3804.59],,-0.01
701,891,281,[10000],Illegal action,[250.371],[250.371],[0],[-3804.59],,-0.01
702,1013,251,[10000],Illegal action,[254.263],[254.263],[0],[-3804.59],,-0.01
703,802,233,[10000],Nothing,[186.866],[186.866],[0],[-3804.59],,-0.1
704,1821,220,[10000],Illegal action,[400.62],[400.62],[0],[-3804.59],,-0.01
705,2116,225,[10000],Illegal action,[476.1],[476.1],[0],[-3804.59],,-0.01
706,1429,226,[10000],Illegal action,[322.954],[322.954],[0],[-3804.59],,-0.01
707,3612,223,[10000],Nothing,[805.476],[805.476],[0],[-3804.59],,-0.1
708,1544,218,[10000],Illegal action,[336.592],[336.592],[0],[-3804.59],,-0.01
709,1509,225,[10000],Illegal action,[339.525],[339.525],[0],[-3804.59],,-0.01
710,974,225,[10000],Illegal action,[219.15],[219.15],[0],[-3804.59],,-0.01
711,2073,229,[10000],Nothing,[474.717],[474.717],[0],[-3804.59],,-0.1
712,948,248,[9052],Discharged,[235.104],0,[0],[-3569.486],,-0.01
713,682,257,[10000],Charged,[175.274],[418.91],[0],[-3813.122],,-0.01
714,875,277,[10000],Illegal action,[242.375],[242.375],[0],[-3813.122],,-0.01
715,1242,327,[10000],Illegal action,[406.134],[406.134],[0],[-3813.122],,-0.01
716,1260,329,[10000],Illegal action,[414.54],[414.54],[0],[-3813.122],,-0.01
717,894,326,[9106],Discharged,[291.444],0,[0],[-3521.678],,-0.01
718,1062,318,[10000],Charged,[337.716],[622.008],[0],[-3805.97],,-0.01
719,666,317,[10000],Illegal action,[211.122],[211.122],[0],[-3805.97],,-0.01
